id;Название;Кол-во фото;Файлы (через |);Оригинальные URL (через |)
623197558482;Shine Systems DA Foam Pad Maroon - полировальный круг полутвердый бордовый, 130 мм;2;images/623197558482_1.jpg|images/623197558482_2.jpg;https://static.tildacdn.com/stor6230-3361-4661-a137-386239303664/83895851.jpg|https://static.tildacdn.com/stor6166-3864-4239-b538-303264333737/36559377.jpg
661496605552;Shine Systems DA Foam Pad Orange - полировальный круг мягкий оранжевый, 130 мм;2;images/661496605552_1.jpg|images/661496605552_2.jpg;https://static.tildacdn.com/stor3832-3633-4966-b966-336261363338/32138789.jpg|https://static.tildacdn.com/stor6139-6137-4438-a133-326561623335/43392034.jpg
798822503502;Shine Systems DA Foam Pad Purple - полировальный круг твердый лиловый, 130 мм;2;images/798822503502_1.jpg|images/798822503502_2.jpg;https://static.tildacdn.com/stor6233-3961-4335-b933-663261343634/98868494.jpg|https://static.tildacdn.com/stor3331-6239-4263-b864-643162663465/74803782.jpg
953963062262;Shine Systems DA Foam Pad Purple - полировальный круг твердый лиловый, 155 мм;2;images/953963062262_1.jpg|images/953963062262_2.jpg;https://static.tildacdn.com/stor3435-3564-4664-a434-373738646363/38615317.jpg|https://static.tildacdn.com/stor6532-3730-4237-a539-333361313830/88535905.jpg
175172347872;Shine Systems DA Foam Pad Purple - полировальный круг твердый лиловый, 75 мм;2;images/175172347872_1.jpg|images/175172347872_2.jpg;https://static.tildacdn.com/stor3237-3635-4861-a261-353661383662/10025348.jpg|https://static.tildacdn.com/stor3130-6165-4633-a164-343539383330/27564772.jpg
329525489792;Shine Systems DA Foam Pad Yellow - полировальный круг антиголограммный желтый, 130 мм;2;images/329525489792_1.jpg|images/329525489792_2.jpg;https://static.tildacdn.com/stor6563-3966-4133-b663-353264343266/35094461.jpg|https://static.tildacdn.com/stor3162-6433-4862-b538-303137353030/95619034.jpg
789454233652;Shine Systems DA Foam Pad Yellow - полировальный круг антиголограммный желтый, 155 мм;2;images/789454233652_1.jpg|images/789454233652_2.jpg;https://static.tildacdn.com/stor3530-6666-4537-b664-666162616230/99584304.jpg|https://static.tildacdn.com/stor6233-3266-4766-b534-373035333536/80059966.jpg
797975931292;Shine Systems DA Foam Pad Yellow - полировальный круг антиголограммный желтый, 75 мм;2;images/797975931292_1.jpg|images/797975931292_2.jpg;https://static.tildacdn.com/stor3533-3962-4466-a362-626131383565/36358527.jpg|https://static.tildacdn.com/stor3466-3439-4539-a439-316164643130/95160052.jpg
901564850982;Shine Systems Glass Pad - войлочный круг для полировки стекла 125 мм;2;images/901564850982_1.jpg|images/901564850982_2.jpg;https://static.tildacdn.com/stor3537-6230-4934-b331-326165363230/83773345.jpg|https://static.tildacdn.com/stor6438-6433-4265-a132-643238383634/38573653.jpg
362976115912;Shine Systems Glass Pad - войлочный круг для полировки стекла 75 мм;2;images/362976115912_1.jpg|images/362976115912_2.jpg;https://static.tildacdn.com/stor3035-6530-4336-a236-613432633733/13529884.jpg|https://static.tildacdn.com/stor3233-6635-4762-a163-323761353132/67438939.jpg
987630798182;Shine Systems Gray Wool Pad - полировальный круг из серого меха, 130 мм;2;images/987630798182_1.jpg|images/987630798182_2.jpg;https://static.tildacdn.com/stor3532-6131-4430-b765-636535386666/56354350.jpg|https://static.tildacdn.com/stor3634-3961-4534-b562-653434313662/31049197.jpg
